City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Muros,ES,72.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
2,Albany,US,70.05,clear sky,42.6001,-73.9662,
4,Rach Gia,VN,82.47,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
8,Harrison,US,80.67,broken clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
13,Nabire,ID,84.36,few clouds,-3.3667,135.4833,Hotel Nusantara I
14,Ponta Do Sol,PT,70.0,clear sky,32.6667,-17.1,Hotel do Campo
16,Atuona,PF,77.58,scattered clouds,-9.8,-139.0333,Villa Enata
18,Bethel,US,79.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
19,Hilo,US,85.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Butaritari,KI,82.13,light rain,3.0707,172.7902,Isles Sunset Lodge
27,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
28,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
30,Sao Filipe,CV,74.52,few clouds,14.8961,-24.4956,Hotel Xaguate
32,Hirara,JP,89.46,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
35,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
38,Olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
39,Prachuap Khiri Khan,TH,76.05,light rain,12.2167,99.75,ผกากรองรีสอร์ท
45,Hithadhoo,MV,83.3,overcast clouds,-0.6,73.0833,Scoop Guest House
48,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
52,Guilin,CN,86.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
55,Lompoc,US,80.74,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
59,Ponta Delgada,PT,71.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
63,Ravenna,IT,78.62,clear sky,44.4167,11.9833,Hotel Tatì
64,Mana,GF,77.09,overcast clouds,5.6592,-53.7767,LE SAMANA
68,Jacksonville,US,79.09,overcast clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
75,Arraial Do Cabo,BR,71.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
78,Mayumba,GA,70.34,overcast clouds,-3.432,10.6554,LIKWALE LODGE
81,Safaga,EG,84.02,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
83,Bengkulu,ID,76.8,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
84,Weligama,LK,76.57,overcast clouds,5.9667,80.4167,Weligama Bay Resort
86,Porto Novo,BJ,74.97,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
87,Mogadishu,SO,76.95,light rain,2.0371,45.3438,Hotel Juba
89,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
94,Kvareli,GE,74.16,few clouds,41.9524,45.8151,Kvareli Eden
99,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
101,Port Blair,IN,81.27,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
102,Ahuimanu,US,85.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
109,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
112,Sur,OM,89.24,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
118,Merauke,ID,77.86,overcast clouds,-8.4667,140.3333,
119,Kavaratti,IN,82.13,overcast clouds,10.5669,72.642,Green leaf
122,Uruzgan,AF,73.94,clear sky,32.8333,66.0,
124,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
127,Houma,US,80.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
129,Harper,LR,75.04,overcast clouds,4.375,-7.7169,Screensaver
131,Kirakira,SB,82.22,overcast clouds,-10.4544,161.9205,SanBiz Lodge
