City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Muros,ES,42.7762,-9.0603,72.16,75,98,3.36,overcast clouds
1,Airai,TL,-8.9266,125.4092,64.29,64,40,4.05,scattered clouds
2,Albany,US,42.6001,-73.9662,70.05,70,4,4.85,clear sky
3,Port Alfred,ZA,-33.5906,26.891,56.39,83,1,10.85,clear sky
4,Rach Gia,VN,10.0167,105.0833,82.47,80,99,14.92,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,28.06,80,0,4.61,clear sky
6,Rikitea,PF,-23.1203,-134.9692,66.72,85,100,8.84,light rain
7,Severodvinsk,RU,64.5635,39.8302,60.91,85,10,5.61,clear sky
8,Harrison,US,30.4091,-89.0436,80.67,85,75,10.36,broken clouds
9,Barrow,US,71.2906,-156.7887,35.62,69,20,9.22,few clouds
10,Hualmay,PE,-11.0964,-77.6139,60.75,82,57,13.8,broken clouds
11,Whitianga,NZ,-36.8333,175.7,57.63,68,90,2.55,overcast clouds
12,Aklavik,CA,68.2191,-135.0107,46.54,60,93,18.57,overcast clouds
13,Nabire,ID,-3.3667,135.4833,84.36,70,13,0.47,few clouds
14,Ponta Do Sol,PT,32.6667,-17.1,70.0,81,1,3.02,clear sky
15,Aykhal,RU,66.0,111.5,50.76,94,100,10.96,moderate rain
16,Atuona,PF,-9.8,-139.0333,77.58,68,25,14.38,scattered clouds
17,Busselton,AU,-33.65,115.3333,60.6,74,82,12.44,broken clouds
18,Bethel,US,41.3712,-73.414,79.65,67,0,4.61,clear sky
19,Hilo,US,19.7297,-155.09,85.28,75,40,10.36,scattered clouds
20,Uglegorsk,RU,49.0833,142.0333,64.65,76,86,4.36,overcast clouds
21,Talnakh,RU,69.4865,88.3972,56.21,64,100,2.62,overcast clouds
22,Butaritari,KI,3.0707,172.7902,82.13,80,87,19.08,light rain
23,Egvekinot,RU,66.3167,-179.1667,49.06,54,58,3.91,broken clouds
24,Bluff,NZ,-46.6,168.3333,38.8,74,100,15.68,overcast clouds
25,Deputatskiy,RU,69.3,139.9,67.84,47,24,1.41,few clouds
26,San Carlos De Bariloche,AR,-41.1456,-71.3082,31.75,80,75,10.36,light snow
27,Georgetown,MY,5.4112,100.3354,84.13,86,20,2.3,few clouds
28,Yellowknife,CA,62.456,-114.3525,70.32,52,75,11.5,broken clouds
29,Norman Wells,CA,65.282,-126.8329,51.84,76,100,10.36,overcast clouds
30,Sao Filipe,CV,14.8961,-24.4956,74.52,78,23,6.78,few clouds
31,Punta Arenas,CL,-53.15,-70.9167,32.11,93,75,6.91,broken clouds
32,Hirara,JP,24.8,125.2833,89.46,79,75,14.97,broken clouds
33,Zhangye,CN,38.9342,100.4517,65.75,71,100,16.28,overcast clouds
34,Hermanus,ZA,-34.4187,19.2345,51.8,82,7,6.85,clear sky
35,Vaini,TO,-21.2,-175.2,80.76,94,40,10.36,scattered clouds
36,Mataura,NZ,-46.1927,168.8643,38.48,95,100,3.78,light rain
37,Nivala,FI,63.9167,24.9667,49.68,99,68,4.76,broken clouds
38,Olinda,BR,-8.0089,-34.8553,74.93,83,40,6.91,scattered clouds
39,Prachuap Khiri Khan,TH,12.2167,99.75,76.05,84,99,3.15,light rain
40,Mar Del Plata,AR,-38.0023,-57.5575,54.09,98,100,1.01,drizzle
41,Bakchar,RU,57.0186,82.0711,56.28,79,100,1.92,overcast clouds
42,Kaitangata,NZ,-46.2817,169.8464,38.75,96,100,8.23,overcast clouds
43,Luderitz,NA,-26.6481,15.1594,62.78,46,7,6.33,clear sky
44,Puerto Ayora,EC,-0.7393,-90.3518,67.55,99,85,7.0,overcast clouds
45,Hithadhoo,MV,-0.6,73.0833,83.3,74,96,14.5,overcast clouds
46,Saldanha,ZA,-33.0117,17.9442,46.45,85,1,8.97,clear sky
47,New Norfolk,AU,-42.7826,147.0587,49.71,66,100,4.0,overcast clouds
48,Avarua,CK,-21.2078,-159.775,78.85,53,40,17.27,scattered clouds
49,Victor Harbor,AU,-35.5667,138.6167,52.68,88,100,10.18,overcast clouds
50,Nikolskoye,RU,59.7035,30.7861,56.8,97,91,5.55,overcast clouds
51,Upernavik,GL,72.7868,-56.1549,37.89,94,42,12.37,scattered clouds
52,Guilin,CN,25.2819,110.2864,86.11,71,98,5.84,overcast clouds
53,Jamestown,US,42.097,-79.2353,69.39,55,0,8.05,clear sky
54,Hobart,AU,-42.8794,147.3294,50.05,89,75,5.75,light rain
55,Lompoc,US,34.6391,-120.4579,80.74,79,0,14.97,mist
56,Provideniya,RU,64.3833,-173.3,57.36,58,0,13.42,clear sky
57,Port Elizabeth,ZA,-33.918,25.5701,53.31,89,0,5.75,clear sky
58,Meadow Lake,US,34.8014,-106.5436,94.55,23,7,5.7,clear sky
59,Ponta Delgada,PT,37.7333,-25.6667,71.51,83,20,5.75,few clouds
60,Mahebourg,MU,-20.4081,57.7,68.29,83,40,11.5,scattered clouds
61,Pisco,PE,-13.7,-76.2167,61.02,82,0,16.11,clear sky
62,Farmington,US,36.7281,-108.2187,93.88,22,0,15.01,clear sky
63,Ravenna,IT,44.4167,11.9833,78.62,87,0,3.27,clear sky
64,Mana,GF,5.6592,-53.7767,77.09,90,94,7.81,overcast clouds
65,Mount Gambier,AU,-37.8333,140.7667,49.93,75,100,8.39,overcast clouds
66,Castro,BR,-24.7911,-50.0119,56.89,79,18,5.1,few clouds
67,Vardo,NO,70.3705,31.1107,53.58,100,100,2.3,fog
68,Jacksonville,US,30.3322,-81.6556,79.09,93,100,8.05,overcast clouds
69,Bredasdorp,ZA,-34.5322,20.0403,49.26,86,8,1.9,clear sky
70,Imbituba,BR,-28.24,-48.6703,65.86,99,100,13.0,overcast clouds
71,Roma,US,43.2128,-75.4557,66.34,63,0,4.61,clear sky
72,Esperance,AU,-33.8667,121.9,59.11,75,36,24.61,scattered clouds
73,Chokurdakh,RU,70.6333,147.9167,64.18,51,100,9.84,overcast clouds
74,Broken Hill,AU,-31.95,141.4333,50.99,49,0,4.27,clear sky
75,Arraial Do Cabo,BR,-22.9661,-42.0278,71.26,89,7,21.07,clear sky
76,Leningradskiy,RU,69.3833,178.4167,37.13,74,49,9.42,scattered clouds
77,Kodiak,US,57.79,-152.4072,62.11,72,40,5.75,scattered clouds
78,Mayumba,GA,-3.432,10.6554,70.34,91,100,3.49,overcast clouds
79,Cape Town,ZA,-33.9258,18.4232,56.91,81,0,6.91,clear sky
80,Chuy,UY,-33.6971,-53.4616,58.33,98,100,9.64,overcast clouds
81,Safaga,EG,26.7292,33.9365,84.02,44,0,19.06,clear sky
82,Providencia,MX,28.7167,-111.5833,100.2,46,71,11.83,broken clouds
83,Bengkulu,ID,-3.8004,102.2655,76.8,90,100,2.98,light rain
84,Weligama,LK,5.9667,80.4167,76.57,91,100,8.99,overcast clouds
85,Chipata,ZM,-13.6333,32.65,56.08,71,0,5.12,clear sky
86,Porto Novo,BJ,6.4965,2.6036,74.97,89,100,7.78,overcast clouds
87,Mogadishu,SO,2.0371,45.3438,76.95,83,16,16.62,light rain
88,Saskylakh,RU,71.9167,114.0833,50.16,63,27,8.3,scattered clouds
89,Bintulu,MY,3.1667,113.0333,79.21,83,20,3.44,few clouds
90,Inhambane,MZ,-23.865,35.3833,65.23,67,0,5.64,clear sky
91,Kameno,BG,42.5667,27.3,64.69,63,0,2.3,clear sky
92,Thompson,CA,55.7435,-97.8558,68.16,49,100,5.75,overcast clouds
93,Kuminskiy,RU,58.6667,66.5667,66.99,86,3,3.76,clear sky
94,Kvareli,GE,41.9524,45.8151,74.16,42,14,7.27,few clouds
95,Pevek,RU,69.7008,170.3133,32.61,85,21,13.02,few clouds
96,Khorramshahr,IR,30.4397,48.1664,93.16,24,0,9.22,clear sky
97,Victoria,HK,22.2855,114.1577,90.97,85,96,3.0,overcast clouds
98,Bage,BR,-31.3314,-54.1069,60.58,94,20,20.71,few clouds
99,Ribeira Grande,PT,38.5167,-28.7,72.0,73,20,2.3,few clouds
100,Setermoen,NO,68.861,18.3486,53.44,93,100,4.59,light rain
101,Port Blair,IN,11.6667,92.75,81.27,83,100,17.45,light rain
102,Ahuimanu,US,21.4447,-157.8378,85.71,70,75,19.57,broken clouds
103,Bajina Basta,RS,43.9708,19.5675,62.83,64,19,4.36,few clouds
104,Narsaq,GL,60.9167,-46.05,57.42,65,100,5.3,overcast clouds
105,Saint George,US,37.1041,-113.5841,90.19,40,0,28.77,haze
106,Severo-Kurilsk,RU,50.6789,156.125,56.03,89,86,11.48,overcast clouds
107,Polyarnyy,RU,69.1989,33.4478,58.15,91,44,10.13,scattered clouds
108,Saint-Pierre,RE,-21.3393,55.4781,65.28,68,20,6.91,few clouds
109,Kapaa,US,22.0752,-159.319,85.98,75,75,16.11,broken clouds
110,Pierre,US,44.3683,-100.351,90.52,55,0,9.22,clear sky
111,Nanortalik,GL,60.1432,-45.2371,44.76,79,96,8.19,overcast clouds
112,Sur,OM,22.5667,59.5289,89.24,58,100,2.75,overcast clouds
