City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ust-Omchug,RU,2022-07-10 21:17:06,61.15,149.6333,69.64,52,26,6.29
1,Ushuaia,AR,2022-07-10 21:17:07,-54.8,-68.3,33.46,69,40,3.44
2,Hilo,US,2022-07-10 21:13:55,19.7297,-155.09,84.27,89,100,4.0
3,Kapaa,US,2022-07-10 21:17:07,22.0752,-159.319,84.52,72,20,17.27
4,Saint-Philippe,RE,2022-07-10 21:17:08,-21.3585,55.7679,63.21,76,37,13.6
5,Albany,US,2022-07-10 21:14:39,42.6001,-73.9662,81.68,35,84,3.22
6,Atar,MR,2022-07-10 21:17:08,20.5169,-13.0499,101.44,11,0,8.95
7,Yulara,AU,2022-07-10 21:17:08,-25.2406,130.9889,43.2,48,0,6.22
8,College,US,2022-07-10 21:17:09,64.8569,-147.8028,68.58,84,75,0.0
9,Kozhevnikovo,RU,2022-07-10 21:17:09,56.2589,83.9714,64.26,89,32,5.77
10,Puerto Baquerizo Moreno,EC,2022-07-10 21:17:09,-0.9,-89.6,71.46,81,84,13.76
11,Huangpi,CN,2022-07-10 21:17:10,30.8845,114.3779,89.71,62,0,8.95
12,Banjar,ID,2022-07-10 21:17:10,-8.19,114.9675,76.26,89,98,3.98
13,Lebu,CL,2022-07-10 21:16:59,-37.6167,-73.65,49.66,81,4,6.96
14,Rawson,AR,2022-07-10 21:17:11,-43.3002,-65.1023,39.7,95,100,30.38
15,Culleredo,ES,2022-07-10 21:17:11,43.2879,-8.3886,75.02,88,75,4.61
16,Punta Arenas,CL,2022-07-10 21:13:23,-53.15,-70.9167,35.11,80,20,3.44
17,Najran,SA,2022-07-10 21:15:06,17.4924,44.1277,81.16,28,100,7.05
18,Iqaluit,CA,2022-07-10 21:17:12,63.7506,-68.5145,53.33,66,20,3.44
19,Port Elizabeth,ZA,2022-07-10 21:13:49,-33.918,25.5701,55.69,88,0,11.5
20,Vaini,TO,2022-07-10 21:17:12,-21.2,-175.2,75.36,88,75,9.22
21,Grand-Lahou,CI,2022-07-10 21:17:13,5.1367,-5.0242,75.6,79,84,7.36
22,Jamestown,US,2022-07-10 21:17:13,42.097,-79.2353,82.06,29,0,5.75
23,Leningradskiy,RU,2022-07-10 21:17:14,69.3833,178.4167,37.89,86,100,12.59
24,Longyearbyen,SJ,2022-07-10 21:17:14,78.2186,15.6401,44.44,87,75,6.91
25,Sal Rei,CV,2022-07-10 21:13:37,16.1833,-22.9167,73.85,82,18,10.11
26,Qaanaaq,GL,2022-07-10 21:17:14,77.484,-69.3632,43.77,73,100,5.5
27,Rikitea,PF,2022-07-10 21:17:15,-23.1203,-134.9692,72.77,78,17,4.21
28,Isangel,VU,2022-07-10 21:17:15,-19.55,169.2667,80.71,83,40,4.61
29,Ostrovnoy,RU,2022-07-10 21:17:15,68.0531,39.5131,53.8,78,25,13.33
30,Thinadhoo,MV,2022-07-10 21:17:16,0.5333,72.9333,82.6,75,100,7.49
31,Yellowknife,CA,2022-07-10 21:17:16,62.456,-114.3525,68.56,77,75,11.5
32,Tiznit,MA,2022-07-10 21:17:16,29.5833,-9.5,91.44,10,26,2.55
33,Port Alfred,ZA,2022-07-10 21:17:17,-33.5906,26.891,59.2,77,82,18.5
34,Thompson,CA,2022-07-10 21:15:23,55.7435,-97.8558,82.56,34,40,6.91
35,Bluff,NZ,2022-07-10 21:17:17,-46.6,168.3333,32.81,80,68,15.52
36,Kungurtug,RU,2022-07-10 21:17:18,50.5994,97.5228,45.03,92,85,1.45
37,Victoria,HK,2022-07-10 21:17:18,22.2855,114.1577,85.32,86,90,5.01
38,Busselton,AU,2022-07-10 21:17:18,-33.65,115.3333,54.97,63,99,1.81
39,Pingliang,CN,2022-07-10 21:17:19,35.5392,106.6861,71.06,87,100,4.72
40,Bambari,CF,2022-07-10 21:17:19,5.768,20.6757,72.01,91,100,2.44
41,Hovd,MN,2022-07-10 21:17:19,48.0056,91.6419,57.54,53,7,4.61
42,Makakilo City,US,2022-07-10 21:17:20,21.3469,-158.0858,84.52,52,40,19.57
43,Codrington,AU,2022-07-10 21:17:20,-38.2667,141.9667,49.17,63,100,19.26
44,Esil,KZ,2022-07-10 21:17:21,51.9556,66.4042,66.09,78,78,11.61
45,Lata,PT,2022-07-10 21:17:21,40.1629,-8.3327,63.81,72,1,3.42
46,Fairbanks,US,2022-07-10 21:17:21,64.8378,-147.7164,68.59,85,40,0.0
47,Hobart,AU,2022-07-10 21:15:32,-42.8794,147.3294,50.25,77,75,12.66
48,Clonakilty,IE,2022-07-10 21:17:22,51.6231,-8.8706,61.09,89,0,5.1
49,Bowen,AU,2022-07-10 21:17:22,-20.0167,148.2333,52.02,64,0,7.74
50,Komsomolets,KZ,2022-07-10 21:17:23,53.7453,62.0708,66.76,71,100,6.8
51,Redlands,US,2022-07-10 21:17:23,34.0556,-117.1825,105.31,18,0,6.91
52,Atuona,PF,2022-07-10 21:17:23,-9.8,-139.0333,77.2,79,54,18.59
53,Constitucion,CL,2022-07-10 21:17:24,-35.3333,-72.4167,51.78,75,26,0.54
54,Birin,NP,2022-07-10 21:17:24,26.8865,88.0718,64.09,86,20,3.98
55,Gondanglegi,ID,2022-07-10 21:17:24,-7.7479,112.0132,73.27,92,34,7.65
